Year,Quarter,Start_date,End_date,Revenue,QoQ_growth,Total_revenue,YoY_growth,Comment
2014,Q1,1.01.2014,31.03.2014,4801,,,,
2014,Q2,1.04.2014,30.06.2014,7565,57.60%,,,
2014,Q3,1.07.2014,30.09.2014,2775,-63.30%,,,
2014,Q4,1.10.2014,30.12.2014,6372,129.60%,21513,,
2015,Q1,1.01.2015,31.03.2015,2857,-55.20%,,2832.40%,
2015,Q2,1.04.2015,30.06.2015,406248,14119.40%,,,The Witcher 3 premiere
2015,Q3,1.07.2015,30.09.2015,85022,-79.10%,,,
2015,Q4,1.10.2015,30.12.2015,136729,60.80%,630856,,Heart of Stone premiere
2016,Q1,1.01.2016,31.03.2016,63667,-53.40%,,-30.40%,
2016,Q2,1.04.2016,30.06.2016,175537,175.70%,,,Blood and Wine premiere
2016,Q3,1.07.2016,30.09.2016,72418,-58.70%,,,
2016,Q4,1.10.2016,30.12.2016,127141,75.60%,438763,,Game of the Year Edition
2017,Q1,1.01.2017,31.03.2017,77710,-38.90%,,-21.00%,
2017,Q2,1.04.2017,30.06.2017,121911,56.90%,,,
2017,Q3,1.07.2017,30.09.2017,59087,-51.50%,,,
2017,Q4,1.10.2017,30.12.2017,88133,49.20%,346841,,NextGen update for consoles
2018,Q1,1.01.2018,31.03.2018,52217,-40.80%,,-32.00%,
2018,Q2,1.04.2018,30.06.2018,56555,8.30%,,,
2018,Q3,1.07.2018,30.09.2018,40675,-28.10%,,,
2018,Q4,1.10.2018,30.12.2018,86472,112.60%,235919,,
2019,Q1,1.01.2019,31.03.2019,50870,-41.20%,,29.10%,
2019,Q2,1.04.2019,30.06.2019,58905,15.80%,,,Start of CP2077 pre sales
2019,Q3,1.07.2019,30.09.2019,47147,-20.00%,,,
2019,Q4,1.10.2019,30.12.2019,147553,213.00%,304475,,
2020,Q1,1.01.2020,31.03.2020,137220,-7.00%,,504.30%,First delay
2020,Q2,1.04.2020,30.06.2020,100445,-26.80%,,,Second delay
2020,Q3,1.07.2020,31.09.2020,61902,-38.40%,,,Third delay
2020,Q4,1.10.2020,30.12.2020,1540365,2388.40%,1839932,,Cyberpunk 2077 premiere
2021,Q1,1.01.2021,31.03.2021,145868,-90.50%,,-62.40%,
2021,Q2,1.04.2021,30.06.2021,221118,51.60%,,,Patch 1.2
2021,Q3,1.07.2021,30.09.2021,104262,-52.80%,,,Patch 1.3
2021,Q4,1.10.2021,30.12.2021,220316,111.30%,691564,,
2022,Q1,1.01.2022,31.03.2022,173787,-21.10%,,11.00%,NextGen update for consoles
2022,Q2,1.04.2022,30.06.2022,112081,-35.50%,,,Patch 1.5
2022,Q3,1.07.2022,30.09.2022,203189,81.30%,,,Announcement Phantom Liberty
2022,Q4,1.10.2022,30.12.2022,278442,37.00%,767499,,Edgerunners
2023,Q1,1.01.2023,31.03.2023,130595,-53.10%,,35.70%,
2023,Q2,1.04.2023,30.06.2023,107489,-17.70%,,,
2023,Q3,1.07.2023,30.09.2023,390534,263.30%,,,Phantom Liberty premiere and Patch 2.0
2023,Q4,1.10.2023,30.12.2023,413166,5.80%,1041784,,Peak sales of the DLC and Patch 2.1
2024,Q1,1.01.2024,31.03.2024,185591,-55.10%,,-23.50%,
2024,Q2,1.04.2024,30.06.2024,157238,-15.30%,,,
2024,Q3,1.07.2024,30.09.2024,180158,14.60%,,,
2024,Q4,1.10.2024,30.12.2024,274409,52.30%,797396,,Patch 2.2
2025,Q1,1.01.2025,31.03.2025,179832,-3.10%,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
